Date,Product_SKU,Real_Unit_Price_YER,Is_Promotion,Day_Type,Terms_of_Trade_Proxy,FX_Shock_7D,Daily_Demand_kg
2023-01-01,Wheat_Grain,486.23,0,Weekday,99.8,0.0,1624.86
2023-01-01,Basmati_Rice,764.54,1,Weekday,99.8,0.0,1781.58
2023-01-01,Poultry_Chicken,961.12,1,Weekday,99.8,0.0,1180.92
2023-01-01,Red_Meat_Lamb,4573.65,0,Weekday,99.8,0.0,247.98
2023-01-01,Vegetable_Oil,845.48,0,Weekday,99.8,0.0,260.34
2023-01-02,Wheat_Grain,352.58,0,Weekday,100.01,0.0,2079.99
2023-01-02,Basmati_Rice,902.78,0,Weekday,100.01,0.0,1514.48
2023-01-02,Poultry_Chicken,1159.79,0,Weekday,100.01,0.0,1049.87
2023-01-02,Red_Meat_Lamb,4478.7,0,Weekday,100.01,0.0,274.38
2023-01-02,Vegetable_Oil,748.17,0,Weekday,100.01,0.0,275.51
2023-01-03,Wheat_Grain,385.34,0,Weekday,99.87,0.0,1855.06
2023-01-03,Basmati_Rice,769.76,1,Weekday,99.87,0.0,1726.08
2023-01-03,Poultry_Chicken,876.05,0,Weekday,99.87,0.0,1106.39
2023-01-03,Red_Meat_Lamb,3656.6,0,Weekday,99.87,0.0,276.26
2023-01-03,Vegetable_Oil,843.67,0,Weekday,99.87,0.0,214.49
2023-01-04,Wheat_Grain,316.85,1,Weekday,98.83,0.0,2233.46
2023-01-04,Basmati_Rice,777.01,1,Weekday,98.83,0.0,1560.2
2023-01-04,Poultry_Chicken,1099.45,0,Weekday,98.83,0.0,1001.96
2023-01-04,Red_Meat_Lamb,3951.18,0,Weekday,98.83,0.0,258.77
2023-01-04,Vegetable_Oil,681.63,1,Weekday,98.83,0.0,251.14
2023-01-05,Wheat_Grain,339.0,0,Weekday,98.4,0.0,2360.68
2023-01-05,Basmati_Rice,670.88,0,Weekday,98.4,0.0,1891.63
2023-01-05,Poultry_Chicken,1178.16,0,Weekday,98.4,0.0,1104.37
2023-01-05,Red_Meat_Lamb,3450.68,0,Weekday,98.4,0.0,233.05
2023-01-05,Vegetable_Oil,871.25,0,Weekday,98.4,0.0,256.73
2023-01-06,Wheat_Grain,384.86,0,Weekend,98.56,0.0,2233.63
2023-01-06,Basmati_Rice,852.0,0,Weekend,98.56,0.0,1757.71
2023-01-06,Poultry_Chicken,1022.46,0,Weekend,98.56,0.0,1184.92
2023-01-06,Red_Meat_Lamb,5584.55,0,Weekend,98.56,0.0,242.31
2023-01-06,Vegetable_Oil,705.52,0,Weekend,98.56,0.0,290.91
2023-01-07,Wheat_Grain,308.4,0,Weekend,97.96,0.0,2373.28
2023-01-07,Basmati_Rice,1034.1,0,Weekend,97.96,0.0,1494.01
2023-01-07,Poultry_Chicken,1407.93,0,Weekend,97.96,0.0,893.89
2023-01-07,Red_Meat_Lamb,5118.53,0,Weekend,97.96,0.0,243.14
2023-01-07,Vegetable_Oil,794.24,0,Weekend,97.96,0.0,298.81
2023-01-08,Wheat_Grain,411.85,0,Weekday,98.16,0.0,2114.54
2023-01-08,Basmati_Rice,904.61,0,Weekday,98.16,0.0,1374.31
2023-01-08,Poultry_Chicken,1218.29,0,Weekday,98.16,0.0,1155.7
2023-01-08,Red_Meat_Lamb,4179.21,0,Weekday,98.16,0.0,262.46
2023-01-08,Vegetable_Oil,737.21,0,Weekday,98.16,0.0,292.31
2023-01-09,Wheat_Grain,428.15,0,Weekday,99.18,0.0,2164.96
2023-01-09,Basmati_Rice,1008.92,0,Weekday,99.18,0.0,1524.21
2023-01-09,Poultry_Chicken,1312.15,0,Weekday,99.18,0.0,1085.71
2023-01-09,Red_Meat_Lamb,4218.81,0,Weekday,99.18,0.0,252.65
2023-01-09,Vegetable_Oil,853.2,0,Weekday,99.18,0.0,272.73
2023-01-10,Wheat_Grain,459.35,0,Weekday,99.68,0.0,2221.52
2023-01-10,Basmati_Rice,950.79,0,Weekday,99.68,0.0,1630.14
2023-01-10,Poultry_Chicken,1303.43,0,Weekday,99.68,0.0,947.59
2023-01-10,Red_Meat_Lamb,3568.45,0,Weekday,99.68,0.0,227.52
2023-01-10,Vegetable_Oil,848.44,0,Weekday,99.68,0.0,248.51
2023-01-11,Wheat_Grain,409.54,0,Weekday,100.62,0.0,1979.57
2023-01-11,Basmati_Rice,980.12,0,Weekday,100.62,0.0,1378.31
2023-01-11,Poultry_Chicken,1354.46,0,Weekday,100.62,0.0,880.47
2023-01-11,Red_Meat_Lamb,4955.42,0,Weekday,100.62,0.0,260.42
2023-01-11,Vegetable_Oil,718.86,0,Weekday,100.62,0.0,282.06
2023-01-12,Wheat_Grain,397.42,0,Weekday,100.8,0.0,2637.88
2023-01-12,Basmati_Rice,854.99,0,Weekday,100.8,0.0,2160.45
2023-01-12,Poultry_Chicken,1292.88,0,Weekday,100.8,0.0,1369.99
2023-01-12,Red_Meat_Lamb,4730.89,0,Weekday,100.8,0.0,407.45
2023-01-12,Vegetable_Oil,947.76,0,Weekday,100.8,0.0,323.57
2023-01-13,Wheat_Grain,376.34,0,Weekend,100.79,0.0,2423.98
2023-01-13,Basmati_Rice,884.08,0,Weekend,100.79,0.0,1553.6
2023-01-13,Poultry_Chicken,1251.02,0,Weekend,100.79,0.0,944.95
2023-01-13,Red_Meat_Lamb,3434.96,0,Weekend,100.79,0.0,335.32
2023-01-13,Vegetable_Oil,824.94,0,Weekend,100.79,0.0,316.4
2023-01-14,Wheat_Grain,343.22,0,Weekend,99.95,0.0,2136.5
2023-01-14,Basmati_Rice,823.18,1,Weekend,99.95,0.0,1680.01
2023-01-14,Poultry_Chicken,1056.66,0,Weekend,99.95,0.0,937.4
2023-01-14,Red_Meat_Lamb,4718.96,0,Weekend,99.95,0.0,296.96
2023-01-14,Vegetable_Oil,937.82,0,Weekend,99.95,0.0,237.62
2023-01-15,Wheat_Grain,448.38,0,Weekday,99.78,0.0,1798.28
2023-01-15,Basmati_Rice,853.59,0,Weekday,99.78,0.0,1953.26
2023-01-15,Poultry_Chicken,1227.45,0,Weekday,99.78,0.0,929.78
2023-01-15,Red_Meat_Lamb,6379.73,0,Weekday,99.78,0.0,237.65
2023-01-15,Vegetable_Oil,752.89,0,Weekday,99.78,0.0,281.78
2023-01-16,Wheat_Grain,446.46,0,Weekday,99.89,0.0,1789.51
2023-01-16,Basmati_Rice,911.69,0,Weekday,99.89,0.0,1729.26
2023-01-16,Poultry_Chicken,1126.89,0,Weekday,99.89,0.0,950.78
2023-01-16,Red_Meat_Lamb,4443.77,0,Weekday,99.89,0.0,251.23
2023-01-16,Vegetable_Oil,818.54,0,Weekday,99.89,0.0,264.27
2023-01-17,Wheat_Grain,387.71,0,Weekday,99.48,0.0,2098.65
2023-01-17,Basmati_Rice,870.3,0,Weekday,99.48,0.0,1702.85
2023-01-17,Poultry_Chicken,978.67,0,Weekday,99.48,0.0,1153.64
2023-01-17,Red_Meat_Lamb,4647.08,0,Weekday,99.48,0.0,203.87
2023-01-17,Vegetable_Oil,886.51,0,Weekday,99.48,0.0,234.43
2023-01-18,Wheat_Grain,394.14,0,Weekday,100.59,0.0,2336.1
2023-01-18,Basmati_Rice,901.7,0,Weekday,100.59,0.0,1795.79
2023-01-18,Poultry_Chicken,1368.38,0,Weekday,100.59,0.0,1027.41
2023-01-18,Red_Meat_Lamb,3618.23,0,Weekday,100.59,0.0,292.37
2023-01-18,Vegetable_Oil,832.14,0,Weekday,100.59,0.0,252.55
2023-01-19,Wheat_Grain,362.72,0,Weekday,100.47,0.0,1944.82
2023-01-19,Basmati_Rice,883.95,0,Weekday,100.47,0.0,1595.41
2023-01-19,Poultry_Chicken,1150.96,0,Weekday,100.47,0.0,1200.96
2023-01-19,Red_Meat_Lamb,4502.87,0,Weekday,100.47,0.0,235.12
2023-01-19,Vegetable_Oil,812.12,0,Weekday,100.47,0.0,223.75
2023-01-20,Wheat_Grain,412.02,0,Weekend,100.08,0.0,2214.67
2023-01-20,Basmati_Rice,763.32,0,Weekend,100.08,0.0,1718.63
2023-01-20,Poultry_Chicken,1005.33,0,Weekend,100.08,0.0,1286.23
2023-01-20,Red_Meat_Lamb,4945.4,0,Weekend,100.08,0.0,264.74
2023-01-20,Vegetable_Oil,739.15,0,Weekend,100.08,0.0,280.63
2023-01-21,Wheat_Grain,427.65,0,Weekend,100.82,0.0,2073.31
2023-01-21,Basmati_Rice,813.01,0,Weekend,100.82,0.0,1782.22
2023-01-21,Poultry_Chicken,1153.09,0,Weekend,100.82,0.0,1162.39
2023-01-21,Red_Meat_Lamb,3775.75,0,Weekend,100.82,0.0,308.96
2023-01-21,Vegetable_Oil,597.14,1,Weekend,100.82,0.0,322.88
2023-01-22,Wheat_Grain,384.26,0,Weekday,100.25,0.0,2486.29
2023-01-22,Basmati_Rice,961.22,0,Weekday,100.25,0.0,1775.5
2023-01-22,Poultry_Chicken,1459.85,0,Weekday,100.25,0.0,925.06
2023-01-22,Red_Meat_Lamb,3941.18,0,Weekday,100.25,0.0,249.36
2023-01-22,Vegetable_Oil,898.09,0,Weekday,100.25,0.0,220.99
2023-01-23,Wheat_Grain,387.91,0,Weekday,100.08,0.0,2162.16
2023-01-23,Basmati_Rice,985.38,0,Weekday,100.08,0.0,1440.61
2023-01-23,Poultry_Chicken,1030.96,0,Weekday,100.08,0.0,1092.11
2023-01-23,Red_Meat_Lamb,4141.09,0,Weekday,100.08,0.0,294.26
2023-01-23,Vegetable_Oil,657.48,0,Weekday,100.08,0.0,284.91
2023-01-24,Wheat_Grain,450.35,0,Weekday,100.29,0.0,2015.68
2023-01-24,Basmati_Rice,911.82,0,Weekday,100.29,0.0,1641.45
2023-01-24,Poultry_Chicken,1385.54,0,Weekday,100.29,0.0,1006.51
2023-01-24,Red_Meat_Lamb,4225.16,0,Weekday,100.29,0.0,251.28
2023-01-24,Vegetable_Oil,829.03,0,Weekday,100.29,0.0,268.21
2023-01-25,Wheat_Grain,373.0,0,Weekday,99.97,0.0,2138.04
2023-01-25,Basmati_Rice,771.9,1,Weekday,99.97,0.0,1870.08
2023-01-25,Poultry_Chicken,1255.91,0,Weekday,99.97,0.0,984.48
2023-01-25,Red_Meat_Lamb,3567.15,0,Weekday,99.97,0.0,296.25
2023-01-25,Vegetable_Oil,709.51,0,Weekday,99.97,0.0,261.72
2023-01-26,Wheat_Grain,474.95,0,Weekday,98.84,0.0,1876.95
2023-01-26,Basmati_Rice,923.78,0,Weekday,98.84,0.0,1428.6
2023-01-26,Poultry_Chicken,1257.33,0,Weekday,98.84,0.0,1006.88
2023-01-26,Red_Meat_Lamb,3618.73,0,Weekday,98.84,0.0,310.63
2023-01-26,Vegetable_Oil,792.16,0,Weekday,98.84,0.0,284.11
2023-01-27,Wheat_Grain,382.77,0,Weekend,98.75,0.0,2470.49
2023-01-27,Basmati_Rice,982.61,0,Weekend,98.75,0.0,1664.29
2023-01-27,Poultry_Chicken,1106.07,0,Weekend,98.75,0.0,1097.93
2023-01-27,Red_Meat_Lamb,5996.25,0,Weekend,98.75,0.0,230.39
2023-01-27,Vegetable_Oil,683.36,0,Weekend,98.75,0.0,334.32
2023-01-28,Wheat_Grain,404.49,0,Weekend,98.62,0.0,2213.08
2023-01-28,Basmati_Rice,799.76,0,Weekend,98.62,0.0,1954.41
2023-01-28,Poultry_Chicken,1135.97,0,Weekend,98.62,0.0,1187.52
2023-01-28,Red_Meat_Lamb,5323.26,0,Weekend,98.62,0.0,218.38
2023-01-28,Vegetable_Oil,649.88,0,Weekend,98.62,0.0,308.35
2023-01-29,Wheat_Grain,377.85,1,Weekday,98.85,0.0,1787.48
2023-01-29,Basmati_Rice,938.7,0,Weekday,98.85,0.0,1541.17
