Date,Product_SKU,Governorate_ID,Real_Unit_Price_YER,Is_Promotion,Day_Type,Terms_of_Trade_Proxy,Quantity_Sold,FX_Shock_7D
2021-01-01,Wheat_Flour_50kg,Sanaa,11979.34,0,Normal,182.13,5711.0,0.0
2021-01-01,Rice_Basmati_10kg,Sanaa,7986.23,0,Normal,182.13,2824.0,0.0
2021-01-01,Sugar_10kg,Sanaa,3993.11,0,Normal,182.13,952.0,0.0
2021-01-01,Cooking_Oil_4L,Sanaa,2994.84,0,Normal,182.13,870.0,0.0
2021-01-01,Beans_Can_400g,Sanaa,399.31,0,Normal,182.13,1073.0,0.0
2021-01-02,Wheat_Flour_50kg,Sanaa,11903.76,0,Weekend,183.29,5275.0,0.0
2021-01-02,Rice_Basmati_10kg,Sanaa,7935.84,0,Weekend,183.29,3650.0,0.0
2021-01-02,Sugar_10kg,Sanaa,3967.92,0,Weekend,183.29,1068.0,0.0
2021-01-02,Cooking_Oil_4L,Sanaa,2975.94,0,Weekend,183.29,1084.0,0.0
2021-01-02,Beans_Can_400g,Sanaa,396.79,0,Weekend,183.29,1134.0,0.0
2021-01-03,Wheat_Flour_50kg,Sanaa,11902.66,0,Weekend,183.31,5089.0,0.0
2021-01-03,Rice_Basmati_10kg,Sanaa,7935.11,0,Weekend,183.31,3448.0,0.0
2021-01-03,Sugar_10kg,Sanaa,3967.55,0,Weekend,183.31,993.0,0.0
2021-01-03,Cooking_Oil_4L,Sanaa,2975.66,0,Weekend,183.31,1135.0,0.0
2021-01-03,Beans_Can_400g,Sanaa,396.76,0,Weekend,183.31,1055.0,0.0
2021-01-04,Wheat_Flour_50kg,Sanaa,11921.84,0,Normal,183.01,5103.0,0.0
2021-01-04,Rice_Basmati_10kg,Sanaa,7947.89,0,Normal,183.01,2789.0,0.0
2021-01-04,Sugar_10kg,Sanaa,3973.95,0,Normal,183.01,1102.0,0.0
2021-01-04,Cooking_Oil_4L,Sanaa,2980.46,0,Normal,183.01,1068.0,0.0
2021-01-04,Beans_Can_400g,Sanaa,397.39,0,Normal,183.01,919.0,0.0
2021-01-05,Wheat_Flour_50kg,Sanaa,11921.77,0,Normal,183.01,4027.0,0.0
2021-01-05,Rice_Basmati_10kg,Sanaa,7947.85,0,Normal,183.01,3624.0,0.0
2021-01-05,Sugar_10kg,Sanaa,3973.92,0,Normal,183.01,1041.0,0.0
2021-01-05,Cooking_Oil_4L,Sanaa,2980.44,0,Normal,183.01,1205.0,0.0
2021-01-05,Beans_Can_400g,Sanaa,397.39,0,Normal,183.01,895.0,0.0
2021-01-06,Wheat_Flour_50kg,Sanaa,11946.94,0,Normal,182.63,4943.0,0.0
2021-01-06,Rice_Basmati_10kg,Sanaa,6769.93,1,Normal,182.63,4213.0,0.0
2021-01-06,Sugar_10kg,Sanaa,3982.31,0,Normal,182.63,1087.0,0.0
2021-01-06,Cooking_Oil_4L,Sanaa,2986.74,0,Normal,182.63,1102.0,0.0
2021-01-06,Beans_Can_400g,Sanaa,398.23,0,Normal,182.63,858.0,0.0
2021-01-07,Wheat_Flour_50kg,Sanaa,11983.06,0,Normal,182.08,4789.0,0.0
2021-01-07,Rice_Basmati_10kg,Sanaa,7988.71,0,Normal,182.08,3300.0,0.0
2021-01-07,Sugar_10kg,Sanaa,3994.35,0,Normal,182.08,868.0,0.0
2021-01-07,Cooking_Oil_4L,Sanaa,2995.77,0,Normal,182.08,1176.0,0.0
2021-01-07,Beans_Can_400g,Sanaa,399.44,0,Normal,182.08,994.0,0.0
2021-01-08,Wheat_Flour_50kg,Sanaa,12077.81,0,Normal,180.65,5073.0,0.008232401420635818
2021-01-08,Rice_Basmati_10kg,Sanaa,8051.87,0,Normal,180.65,2843.0,0.008232401420635818
2021-01-08,Sugar_10kg,Sanaa,4025.94,0,Normal,180.65,1078.0,0.008232401420635818
2021-01-08,Cooking_Oil_4L,Sanaa,3019.45,0,Normal,180.65,1323.0,0.008232401420635818
2021-01-08,Beans_Can_400g,Sanaa,402.59,0,Normal,180.65,788.0,0.008232401420635818
2021-01-09,Wheat_Flour_50kg,Sanaa,12021.95,0,Weekend,181.49,5122.0,0.009934199673747611
2021-01-09,Rice_Basmati_10kg,Sanaa,8014.64,0,Weekend,181.49,2998.0,0.009934199673747611
2021-01-09,Sugar_10kg,Sanaa,4007.32,0,Weekend,181.49,1224.0,0.009934199673747611
2021-01-09,Cooking_Oil_4L,Sanaa,3005.49,0,Weekend,181.49,1083.0,0.009934199673747611
2021-01-09,Beans_Can_400g,Sanaa,400.73,0,Weekend,181.49,1045.0,0.009934199673747611
2021-01-10,Wheat_Flour_50kg,Sanaa,12000.57,0,Weekend,181.81,5602.0,0.008230377240898944
2021-01-10,Rice_Basmati_10kg,Sanaa,8000.38,0,Weekend,181.81,3690.0,0.008230377240898944
2021-01-10,Sugar_10kg,Sanaa,4000.19,0,Weekend,181.81,1121.0,0.008230377240898944
