Date,ID_Commodity,Anomaly_Price_Global,Index_Cost_Shipping,Premium_Insurance_Risk_War,Outlook_Production_Local,USD_Spread_Price_Market,Index_Stress_Chain_Supply,News_Sentiment_Score,Customs_Fees_Estimate
2023-01-31,wheat,792,1.8,1.19,0.56,18,0.61,-0.48,40
2023-01-31,sugar,338,1.67,1.29,0.54,19,0.38,0.0,23
2023-01-31,oil,781,1.35,0.92,0.57,34,0.32,0.04,43
2023-01-31,rice,844,1.27,0.79,0.44,11,0.32,-0.07,23
2023-01-31,corn,729,1.39,0.82,0.55,20,0.41,-0.04,38
2023-01-31,soybean,495,1.21,0.88,0.61,16,0.89,-0.09,45
2023-01-31,barley,888,1.17,1.05,0.64,24,0.7,-0.28,35
2023-01-31,milk_powder,755,1.6,0.79,0.84,10,0.48,-0.21,33
2023-01-31,tea,530,1.16,1.25,0.65,33,0.85,-0.0,27
2023-01-31,coffee,826,1.44,1.25,0.54,33,0.82,-0.35,25
2023-01-31,salt,364,1.78,0.74,0.6,32,0.36,0.12,28
2023-01-31,lentils,543,1.24,0.83,0.65,24,0.47,-0.14,30
2023-02-28,wheat,532,1.02,0.9,0.75,32,0.35,0.04,35
2023-02-28,sugar,732,1.57,1.16,0.82,19,0.55,-0.27,30
2023-02-28,oil,618,1.53,0.98,0.63,30,0.48,0.18,21
2023-02-28,rice,740,1.23,0.92,0.73,13,0.73,-0.49,30
2023-02-28,corn,213,1.13,0.96,0.77,15,0.8,-0.33,21
2023-02-28,soybean,240,1.45,0.68,0.78,16,0.83,-0.4,35
2023-02-28,barley,330,1.14,0.61,0.54,30,0.6,-0.36,26
2023-02-28,milk_powder,856,1.19,1.11,0.69,13,0.64,-0.38,40
2023-02-28,tea,867,1.36,0.93,0.72,13,0.67,0.1,27
2023-02-28,coffee,683,1.67,1.02,0.65,25,0.54,0.15,40
2023-02-28,salt,458,1.36,0.92,0.49,33,0.89,-0.14,42
2023-02-28,lentils,428,1.35,0.87,0.88,35,0.84,-0.43,39
2023-03-31,wheat,698,1.24,1.19,0.86,18,0.85,-0.32,38
2023-03-31,sugar,254,1.3,0.7,0.89,35,0.33,0.0,28
2023-03-31,oil,262,1.4,0.98,0.76,28,0.36,-0.48,36
2023-03-31,rice,460,1.62,1.16,0.69,31,0.71,0.03,31
2023-03-31,corn,215,1.45,0.68,0.79,10,0.77,-0.15,26
2023-03-31,soybean,621,1.07,0.86,0.83,17,0.74,-0.23,34
2023-03-31,barley,712,1.1,0.71,0.9,17,0.48,-0.14,23
2023-03-31,milk_powder,260,1.52,0.64,0.5,32,0.51,0.05,31
2023-03-31,tea,511,1.06,0.88,0.87,34,0.86,-0.29,40
2023-03-31,coffee,461,1.55,0.99,0.45,35,0.48,0.12,25
2023-03-31,salt,898,1.75,0.99,0.52,24,0.76,-0.29,40
2023-03-31,lentils,703,1.71,0.85,0.72,10,0.53,-0.11,34
2023-04-30,wheat,796,1.21,0.77,0.85,18,0.75,-0.06,42
2023-04-30,sugar,379,1.44,1.02,0.52,19,0.8,0.07,43
2023-04-30,oil,798,1.15,1.05,0.62,33,0.67,-0.13,40
2023-04-30,rice,641,1.06,0.68,0.54,27,0.53,-0.17,29
2023-04-30,corn,349,1.01,1.29,0.77,35,0.59,-0.02,38
2023-04-30,soybean,243,1.14,1.17,0.62,20,0.32,-0.28,43
2023-04-30,barley,302,1.79,0.7,0.74,28,0.41,0.09,35
2023-04-30,milk_powder,463,1.23,0.87,0.45,24,0.52,-0.29,41
2023-04-30,tea,514,1.79,1.29,0.88,32,0.63,0.16,20
2023-04-30,coffee,801,1.51,0.6,0.82,35,0.39,-0.29,30
2023-04-30,salt,340,1.5,0.92,0.87,20,0.78,-0.29,31
2023-04-30,lentils,594,1.49,1.18,0.76,21,0.8,0.13,27
2023-05-31,wheat,552,1.64,0.99,0.49,31,0.38,-0.5,29
2023-05-31,sugar,421,1.79,0.66,0.7,15,0.7,-0.37,27
2023-05-31,oil,346,1.02,0.72,0.41,20,0.84,0.07,29
2023-05-31,rice,871,1.44,0.78,0.63,16,0.82,0.01,20
2023-05-31,corn,751,1.11,1.23,0.41,31,0.76,-0.45,29
2023-05-31,soybean,681,1.26,0.63,0.72,17,0.69,-0.46,22
2023-05-31,barley,613,1.55,0.99,0.82,22,0.64,0.12,25
2023-05-31,milk_powder,366,1.11,0.83,0.67,18,0.47,0.03,21
2023-05-31,tea,680,1.63,0.97,0.56,15,0.46,0.19,27
2023-05-31,coffee,804,1.21,0.84,0.81,12,0.35,-0.47,30
2023-05-31,salt,335,1.76,1.14,0.87,25,0.81,0.06,30
2023-05-31,lentils,769,1.24,0.94,0.87,32,0.86,-0.01,35
2023-06-30,wheat,266,1.32,0.63,0.68,12,0.33,0.12,32
2023-06-30,sugar,497,1.38,0.69,0.57,16,0.66,-0.48,31
2023-06-30,oil,667,1.58,1.08,0.59,12,0.43,0.16,40
2023-06-30,rice,597,1.62,1.06,0.63,29,0.7,-0.19,30
2023-06-30,corn,563,1.54,0.78,0.9,32,0.65,-0.46,35
2023-06-30,soybean,247,1.78,0.64,0.6,31,0.39,-0.39,29
2023-06-30,barley,705,1.68,1.06,0.87,17,0.72,-0.15,38
2023-06-30,milk_powder,754,1.34,0.63,0.46,19,0.41,0.1,43
2023-06-30,tea,223,1.33,1.06,0.76,25,0.72,-0.26,24
2023-06-30,coffee,337,1.51,0.84,0.84,12,0.48,0.05,35
2023-06-30,salt,766,1.4,0.9,0.47,14,0.69,-0.03,23
2023-06-30,lentils,229,1.19,0.75,0.48,19,0.76,-0.12,34
2023-07-31,wheat,431,1.39,1.19,0.7,19,0.44,-0.26,28
2023-07-31,sugar,529,1.38,0.77,0.51,30,0.68,-0.39,40
